Disc,tag,model,Type,AntiFoul,DeployArea,deploy.t,rel.t,deploy.days,DeplLat,DeplLong,CL,Shell,t0,t0.type,t1,lat1,lon1,s.maj1,s.min1,angle1,driftT0,driftT,driftD,driftR,inv.driftB,driftD0,lat0,lon0,s.maj0_63,s.min0_63,angle0,s.maj0_95,s.min0_95,est.dist.km,est.bearing.deg,est.rate.kmd-1
220,202504,MiniPAT,1,Y,1,7/5/2020 21:02,10/12/2020 20:00,99.23472222,55.85782100,-162.92003000,149,2,10/13/2020 2:40,DEPTH,10/13/2020 4:29,56.1755,-162.8099,399,49,81,1.8225,2.190277778,602.1191024,274.9053607,-45.42583255,501.0150198,56.17865787,-162.8156467,628.0359357,148.4200037,85.21272884,1087.016142,256.8880707,36.26047996,10.26312162,0.365401133
212,202505,MiniPAT,1,Y,1,7/5/2020 16:08,10/12/2020 20:00,99.46666667,55.87093600,-162.82503100,143,2,10/13/2020 3:20,DEPTH,10/13/2020 4:27,55.9559,-163.4567,333,65,76,1.120277778,2.413888889,801.4784275,332.0278871,-43.81674431,371.9634635,55.95831048,-163.4608231,537.9850695,177.459437,93.80394246,931.1544478,307.1500557,40.79413509,284.0411555,0.410128704
231,202506,MiniPAT,1,Y,2,7/7/2020 10:42,10/12/2020 20:00,97.68611111,57.21371500,-163.81854200,153,2,10/13/2020 3:10,DEPTH,10/13/2020 4:25,56.834,-164.2077,1146,184,38,1.264722222,0.799722222,682.4479914,853.3562935,-11.86697868,1079.258668,56.84348469,-164.2113367,2987.492834,775.1644853,39.50693915,5170.807515,1341.668941,47.53701362,210.1665684,0.486630219
265,202507,MiniPAT,1,Y,3,7/9/2020 10:10,10/12/2020 20:00,95.65972222,56.84650900,-161.74992500,169,2,10/13/2020 2:00,DEPTH,10/14/2020 4:15,56.6146,-161.6274,1168,428,81,26.26416667,25.39444444,13602.03436,535.6303185,-38.28067387,14067.88396,56.71383124,-161.7702119,1271.740691,487.3747086,81.52647912,2207.505377,845.9918734,14.8047657,184.7968966,0.154764883
239,202508,MiniPAT,1,Y,2,7/7/2020 14:47,10/12/2020 20:00,97.52986111,57.27838100,-163.82360200,138,2,10/13/2020 3:30,DEPTH,10/13/2020 4:27,56.7516,-163.5889,561,110,80,0.952777778,0.781111111,547.1362954,700.4589842,-4.487542767,667.3817544,56.75757488,-163.5897537,1315.4076,349.4606883,83.29141428,2276.731654,604.8529833,59.61580255,166.1662908,0.61125692
248,202509,MiniPAT,1,Y,2,7/7/2020 19:51,10/12/2020 20:00,97.52013889,57.29646600,-163.73693800,167,2,10/13/2020 8:20,DEPTH,10/13/2020 11:39,56.6922,-163.9765,1180,510,80,3.325,3.158611111,1434.500795,454.1555591,-36.98708528,1510.067234,56.70303118,-163.9913315,2437.322219,1050.119128,80.02768427,4218.562101,1817.565491,67.7614769,193.2485999,0.694845984
204,202510,MiniPAT,1,Y,1,7/5/2020 13:02,10/12/2020 20:00,99.58888889,55.91819300,-162.83309200,139,2,10/13/2020 3:10,DEPTH,10/13/2020 4:28,56.0138,-163.365,441,63,81,1.3025,2.413888889,801.4784275,332.0278871,-43.81674431,432.466323,56.01660253,-163.369801,663.2872807,191.579883,93.918231,1148.029818,331.5899833,35.14712431,288.3620977,0.352922145
235,203093,MiniPAT,1,Y,2,7/7/2020 12:01,10/12/2020 20:00,97.51319444,57.24412700,-163.81984700,148,2,10/13/2020 0:20,DEPTH,10/13/2020 1:22,57.1771,-164.03,852,78,103,1.039444444,0.537777778,6.034007598,11.22026206,-89.99995798,11.66283907,57.1771,-164.0301928,3095.450828,537.7206463,100.2913467,5357.663196,930.6967794,14.69660359,239.6157364,0.150714
250,203094,MiniPAT,1,Y,2,7/7/2020 22:06,10/12/2020 20:00,98.35902778,57.27435600,-163.74372700,180,2,10/14/2020 6:43,TRANS,10/14/2020 19:27,57.1407,-163.8182,1092,24,100,12.72694444,13.30722222,6271.741814,471.3036056,27.36598998,5998.254805,57.18859837,-163.7724397,1160.078784,167.9701035,98.0452464,2013.681068,291.564868,9.691122583,190.2835103,0.098528044
216,203095,MiniPAT,1,Y,1,7/5/2020 17:57,10/12/2020 20:00,99.27291667,55.83387000,-162.83745400,159,2,10/13/2020 0:30,REL,10/13/2020 1:22,56.1981,-163.4659,489,78,101,0.871944444,1.598333333,1137.736699,711.8269234,-78.16391626,620.6735312,56.19924452,-163.4757204,839.49488,147.6318125,98.6225119,1457.207019,256.2613764,56.78271555,315.947656,0.57198597
